instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
10,RedBlackBST,32768,11515,9871,4892,3249,3241,416,9455,189,4703,3,3246,10898,18,0.008924916
11,BST,32768,11413,9858,4864,3283,3350,405,9453,179,4685,0,3283,10805,32,0.008507947
11,RedBlackBST,32768,11413,9858,4864,3283,3350,405,9453,179,4685,0,3283,10805,17,0.007648765
12,BST,32768,11459,9781,4951,3341,3236,411,9370,180,4771,4,3337,10837,31,0.008914631
12,RedBlackBST,32768,11459,9781,4951,3341,3236,411,9370,180,4771,4,3337,10837,19,0.008751519
13,BST,32768,11528,9866,4800,3280,3294,433,9433,194,4606,4,3276,10893,31,0.010163091
13,RedBlackBST,32768,11528,9866,4800,3280,3294,433,9433,194,4606,4,3276,10893,18,0.007856974
14,BST,32768,11569,9923,4852,3283,3141,390,9533,175,4677,1,3282,10914,30,0.008879198
14,RedBlackBST,32768,11569,9923,4852,3283,3141,390,9533,175,4677,1,3282,10914,17,0.00911685
15,BST,32768,11558,9824,4890,3241,3255,395,9429,190,4700,0,3241,10944,31,0.008881171
15,RedBlackBST,32768,11558,9824,4890,3241,3255,395,9429,190,4700,0,3241,10944,18,0.009918468
16,BST,32768,11516,9731,4898,3330,3293,415,9316,168,4730,2,3328,10876,32,0.008580486
16,RedBlackBST,32768,11516,9731,4898,3330,3293,415,9316,168,4730,2,3328,10876,17,0.008299169
17,BST,32768,11397,9962,4893,3258,3258,439,9523,191,4702,1,3257,10770,27,0.010048662
17,RedBlackBST,32768,11397,9962,4893,3258,3258,439,9523,191,4702,1,3257,10770,17,0.009778849
18,BST,32768,11477,9815,4861,3281,3334,438,9377,194,4667,0,3281,10850,33,0.010794255
18,RedBlackBST,32768,11477,9815,4861,3281,3334,438,9377,194,4667,0,3281,10850,18,0.011387156
19,BST,32768,11436,9881,4859,3282,3310,438,9443,164,4695,3,3279,10812,30,0.012028155
19,RedBlackBST,32768,11436,9881,4859,3282,3310,438,9443,164,4695,3,3279,10812,18,0.011582186
20,BST,32768,11444,9853,4921,3303,3247,416,9437,168,4753,0,3303,10801,33,0.01060006
20,RedBlackBST,32768,11444,9853,4921,3303,3247,416,9437,168,4753,0,3303,10801,18,0.010191487
21,BST,32768,11515,9835,4923,3258,3237,412,9423,175,4748,0,3258,10905,28,0.01043903
21,RedBlackBST,32768,11515,9835,4923,3258,3237,412,9423,175,4748,0,3258,10905,17,0.011025724
22,BST,32768,11388,9889,4909,3171,3411,403,9486,171,4738,1,3170,10771,35,0.011015551
22,RedBlackBST,32768,11388,9889,4909,3171,3411,403,9486,171,4738,1,3170,10771,17,0.010309834
23,BST,32768,11585,9752,4951,3245,3235,395,9357,181,4770,0,3245,10957,32,0.009386
23,RedBlackBST,32768,11585,9752,4951,3245,3235,395,9357,181,4770,0,3245,10957,19,0.008235214
24,BST,32768,11464,9844,4885,3271,3304,421,9423,193,4692,2,3269,10846,32,0.010705636
24,RedBlackBST,32768,11464,9844,4885,3271,3304,421,9423,193,4692,2,3269,10846,17,0.010668099
25,BST,32768,11357,9936,4924,3271,3280,390,9546,210,4714,1,3270,10720,29,0.010725145
25,RedBlackBST,32768,11357,9936,4924,3271,3280,390,9546,210,4714,1,3270,10720,18,0.010464939
26,BST,32768,11458,9828,4933,3318,3231,419,9409,186,4747,1,3317,10851,30,0.010011136
26,RedBlackBST,32768,11458,9828,4933,3318,3231,419,9409,186,4747,1,3317,10851,17,0.009011945
27,BST,32768,11404,10014,4781,3267,3302,410,9604,176,4605,2,3265,10785,27,0.008398106
27,RedBlackBST,32768,11404,10014,4781,3267,3302,410,9604,176,4605,2,3265,10785,18,0.008601827
28,BST,32768,11566,9647,4873,3313,3369,428,9219,180,4693,2,3311,10926,28,0.008454729
28,RedBlackBST,32768,11566,9647,4873,3313,3369,428,9219,180,4693,2,3311,10926,18,0.008777337
29,BST,32768,11400,9827,4978,3159,3404,457,9370,204,4774,2,3157,10759,31,0.008708596
29,RedBlackBST,32768,11400,9827,4978,3159,3404,457,9370,204,4774,2,3157,10759,17,0.008409932
30,BST,32768,11313,9975,4925,3275,3280,418,9557,190,4735,1,3274,10677,32,0.011923701
30,RedBlackBST,32768,11313,9975,4925,3275,3280,418,9557,190,4735,1,3274,10677,18,0.009749899
