instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,32768,11525,9770,4998,3237,3238,395,9375,203,4795,0,3237,10878,29,0.011562143
1,RedBlackBST,32768,11525,9770,4998,3237,3238,395,9375,203,4795,0,3237,10878,17,0.011347005
2,BST,32768,11362,9894,4826,3313,3373,437,9457,202,4624,2,3311,10737,28,0.010903117
2,RedBlackBST,32768,11362,9894,4826,3313,3373,437,9457,202,4624,2,3311,10737,17,0.011278553
3,BST,32768,11469,9849,4893,3258,3299,415,9434,201,4692,1,3257,10843,30,0.010575982
3,RedBlackBST,32768,11469,9849,4893,3258,3299,415,9434,201,4692,1,3257,10843,17,0.010807664
4,BST,32768,11353,9888,4923,3282,3322,431,9457,180,4743,2,3280,10747,32,0.010377048
4,RedBlackBST,32768,11353,9888,4923,3282,3322,431,9457,180,4743,2,3280,10747,17,0.010182569
5,BST,32768,11314,10062,4795,3252,3345,419,9643,179,4616,2,3250,10665,31,0.010684985
5,RedBlackBST,32768,11314,10062,4795,3252,3345,419,9643,179,4616,2,3250,10665,18,0.009945558
6,BST,32768,11432,9838,4964,3274,3260,431,9407,171,4793,0,3274,10800,27,0.010624555
6,RedBlackBST,32768,11432,9838,4964,3274,3260,431,9407,171,4793,0,3274,10800,17,0.008554597
7,BST,32768,11571,9864,4820,3190,3323,406,9458,199,4621,2,3188,10942,29,0.008565063
7,RedBlackBST,32768,11571,9864,4820,3190,3323,406,9458,199,4621,2,3188,10942,18,0.008565183
8,BST,32768,11335,9789,4957,3343,3344,405,9384,183,4774,2,3341,10751,28,0.008708475
8,RedBlackBST,32768,11335,9789,4957,3343,3344,405,9384,183,4774,2,3341,10751,18,0.007383211
9,BST,32768,11461,9809,4864,3319,3315,393,9416,175,4689,1,3318,10852,27,0.008915912
9,RedBlackBST,32768,11461,9809,4864,3319,3315,393,9416,175,4689,1,3318,10852,17,0.00746355
10,BST,32768,11515,9871,4892,3249,3241,416,9455,189,4703,3,3246,10898,30,0.00831373
