instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,8192,2844,2458,1250,819,821,104,2354,53,1197,0,819,2691,22,0.002231938
1,RedBlackBST,8192,2844,2458,1250,819,821,104,2354,53,1197,0,819,2691,14,0.002484476
2,BST,8192,2826,2487,1232,830,817,116,2371,56,1176,0,830,2680,23,0.002430523
2,RedBlackBST,8192,2826,2487,1232,830,817,116,2371,56,1176,0,830,2680,15,0.002490906
3,BST,8192,2818,2465,1246,824,839,108,2357,52,1194,0,824,2647,25,0.002478643
3,RedBlackBST,8192,2818,2465,1246,824,839,108,2357,52,1194,0,824,2647,15,0.002516114
4,BST,8192,2885,2435,1248,812,812,110,2325,40,1208,0,812,2730,24,0.002345418
4,RedBlackBST,8192,2885,2435,1248,812,812,110,2325,40,1208,0,812,2730,15,0.002595156
5,BST,8192,2860,2426,1275,825,806,93,2333,49,1226,0,825,2701,25,0.002517793
5,RedBlackBST,8192,2860,2426,1275,825,806,93,2333,49,1226,0,825,2701,14,0.002590975
6,BST,8192,2840,2569,1203,736,844,105,2464,44,1159,0,736,2685,25,0.002315991
6,RedBlackBST,8192,2840,2569,1203,736,844,105,2464,44,1159,0,736,2685,15,0.002534546
7,BST,8192,2794,2447,1243,829,879,98,2349,61,1182,1,828,2630,22,0.002227391
7,RedBlackBST,8192,2794,2447,1243,829,879,98,2349,61,1182,1,828,2630,15,0.002507164
8,BST,8192,2906,2483,1223,759,821,111,2372,42,1181,0,759,2739,24,0.002548598
8,RedBlackBST,8192,2906,2483,1223,759,821,111,2372,42,1181,0,759,2739,15,0.003410274
9,BST,8192,2820,2445,1248,817,862,98,2347,53,1195,1,816,2664,24,0.002393567
9,RedBlackBST,8192,2820,2445,1248,817,862,98,2347,53,1195,1,816,2664,14,0.002637048
10,BST,8192,2880,2445,1265,787,815,91,2354,60,1205,0,787,2714,27,0.002474757
10,RedBlackBST,8192,2880,2445,1265,787,815,91,2354,60,1205,0,787,2714,15,0.0025909
11,BST,8192,2895,2462,1279,772,784,99,2363,52,1227,0,772,2744,23,0.002539063
11,RedBlackBST,8192,2895,2462,1279,772,784,99,2363,52,1227,0,772,2744,15,0.002576197
12,BST,8192,2950,2396,1188,816,842,103,2293,42,1146,0,816,2784,24,0.002301821
12,RedBlackBST,8192,2950,2396,1188,816,842,103,2293,42,1146,0,816,2784,15,0.002603428
13,BST,8192,2886,2414,1272,809,811,133,2281,62,1210,1,808,2728,24,0.002373207
13,RedBlackBST,8192,2886,2414,1272,809,811,133,2281,62,1210,1,808,2728,15,0.002471863
14,BST,8192,2881,2472,1198,775,866,107,2365,43,1155,0,775,2712,22,0.002439264
14,RedBlackBST,8192,2881,2472,1198,775,866,107,2365,43,1155,0,775,2712,14,0.002585732
15,BST,8192,2849,2465,1259,830,789,106,2359,50,1209,0,830,2676,23,0.0023826
15,RedBlackBST,8192,2849,2465,1259,830,789,106,2359,50,1209,0,830,2676,15,0.00261859
16,BST,8192,2930,2436,1195,817,814,123,2313,53,1142,0,817,2784,21,0.002494276
16,RedBlackBST,8192,2930,2436,1195,817,814,123,2313,53,1142,0,817,2784,15,0.002764096
17,BST,8192,2931,2428,1236,788,809,118,2310,51,1185,1,787,2778,23,0.002324184
17,RedBlackBST,8192,2931,2428,1236,788,809,118,2310,51,1185,1,787,2778,15,0.002839158
18,BST,8192,2934,2424,1242,782,810,97,2327,51,1191,0,782,2765,26,0.002399495
18,RedBlackBST,8192,2934,2424,1242,782,810,97,2327,51,1191,0,782,2765,15,0.00271287
19,BST,8192,2912,2468,1183,785,844,106,2362,48,1135,0,785,2754,22,0.002525383
19,RedBlackBST,8192,2912,2468,1183,785,844,106,2362,48,1135,0,785,2754,15,0.002677488
20,BST,8192,2842,2441,1244,809,856,105,2336,40,1204,0,809,2676,22,0.002385275
20,RedBlackBST,8192,2842,2441,1244,809,856,105,2336,40,1204,0,809,2676,14,0.002270735
21,BST,8192,2856,2500,1222,827,787,113,2387,62,1160,0,827,2667,26,0.002250084
21,RedBlackBST,8192,2856,2500,1222,827,787,113,2387,62,1160,0,827,2667,15,0.002657769
22,BST,8192,2861,2500,1188,827,816,99,2401,40,1148,1,826,2712,24,0.002340699
22,RedBlackBST,8192,2861,2500,1188,827,816,99,2401,40,1148,1,826,2712,15,0.002582887
23,BST,8192,2899,2476,1267,781,769,102,2374,52,1215,0,781,2732,23,0.00263175
23,RedBlackBST,8192,2899,2476,1267,781,769,102,2374,52,1215,0,781,2732,14,0.002517362
24,BST,8192,2856,2419,1244,844,829,107,2312,44,1200,0,844,2723,23,0.002368772
24,RedBlackBST,8192,2856,2419,1244,844,829,107,2312,44,1200,0,844,2723,15,0.002570231
25,BST,8192,2821,2509,1230,801,831,103,2406,57,1173,0,801,2673,23,0.0024098
25,RedBlackBST,8192,2821,2509,1230,801,831,103,2406,57,1173,0,801,2673,15,0.002463021
26,BST,8192,2840,2504,1199,844,805,112,2392,57,1142,1,843,2683,24,0.002635776
26,RedBlackBST,8192,2840,2504,1199,844,805,112,2392,57,1142,1,843,2683,14,0.002572212
27,BST,8192,2925,2457,1194,821,795,108,2349,45,1149,0,821,2750,24,0.002303804
27,RedBlackBST,8192,2925,2457,1194,821,795,108,2349,45,1149,0,821,2750,14,0.002443651
28,BST,8192,2847,2475,1249,773,848,116,2359,49,1200,0,773,2699,22,0.00233492
28,RedBlackBST,8192,2847,2475,1249,773,848,116,2359,49,1200,0,773,2699,15,0.002417373
29,BST,8192,2798,2531,1204,827,832,105,2426,53,1151,0,827,2646,23,0.002216555
29,RedBlackBST,8192,2798,2531,1204,827,832,105,2426,53,1151,0,827,2646,15,0.002447227
30,BST,8192,2903,2457,1193,835,804,114,2343,41,1152,0,835,2766,24,0.002362981
30,RedBlackBST,8192,2903,2457,1193,835,804,114,2343,41,1152,0,835,2766,14,0.002287131
